StateID;StationID;CurrentRule;LocalAveProcTime;LocalAveRemainingProcTime;LocalAveLeadTime;LocalAveSlackTime;LocalAveCriticalRatio;GlobalAveRemainingProcTime;GlobalAveLeadTime;GlobalAveSlackTime;Op2Rule;Op3Rule;GlobalObjExitLeadtime;nor_LeadTime;GlobalObjExitTardiness
14720;3;0;1489.366;4468.098;25501.1368;8155.7652;4.0465;2824.9806;12471.1206;8745.5654;0;0;21065.3746;88.4954;-1933.2672
14721;3;4;1452.6586;4357.9759;23355.2464;7786.7778;3.7912;2868.7845;11912.2105;9344.005;0;4;21065.3637;88.5063;-1933.0068
14722;3;3;1377.6586;4132.9759;21436.9569;7055.0672;3.3278;3106.4449;11607.3378;9494.5506;0;3;21065.5647;88.3053;-1932.8059
14723;2;0;801.3703;3205.4813;13007.8652;17536.6535;10.1949;3025.7869;11698.0267;9484.5198;0;4;21065.5647;88.3053;-1932.8059
14724;3;4;1581.5094;4744.5281;19749.0466;8631.4252;3.5779;2987.6635;11050.1983;9295.4715;0;4;21065.5553;88.3147;-1932.5441
14725;2;0;764.9091;3059.6365;11211.5046;16853.859;9.6166;2975.5098;11123.9625;9233.861;0;0;21065.5553;88.3147;-1932.5441
14726;3;0;1542.9706;4628.9118;20099.2191;8146.8692;3.5727;2900.5098;10725.3643;8749.1259;2;0;21065.7088;88.1612;-1932.3909
14727;2;2;689.9091;2759.6365;10361.7921;15128.5715;8.6808;2875.5098;10796.0549;8703.4353;2;4;21065.7088;88.1612;-1932.3909
14728;3;4;1542.9706;4628.9118;19928.3322;8317.756;3.7607;2788.2725;10392.9709;9110.4233;2;4;21065.8208;88.0492;-1932.2791
14729;2;2;817.5053;3270.0214;9663.095;15566.8836;8.2233;2763.2725;10463.6615;9064.7327;2;2;21065.8208;88.0492;-1932.2791
14730;3;2;1542.9706;4628.9118;19757.4453;8488.6429;3.9487;2802.2135;10074.5185;9414.9346;2;2;21065.9328;87.9372;-1932.1674
14731;2;2;829.771;3319.084;11929.0052;23501.9108;16.8637;2976.9281;11210.4;11687.6719;2;1;21065.9328;87.9372;-1932.1674
14732;2;0;794.8961;3179.5845;10215.8267;22729.5888;16.1711;2965.3032;11524.2738;11385.423;0;1;21065.9328;87.9372;-1932.1674
14733;3;1;1584.8583;4754.5748;22053.1696;8692.2556;3.8977;2769.7198;10883.17;11180.4436;2;1;21065.8624;88.0076;-1932.5094
14734;3;0;1548.3971;4645.1912;19808.9848;8420.824;3.7416;2833.2586;10315.7212;11767.6869;2;0;21065.915;87.955;-1932.1857
14735;2;2;794.8961;3179.5845;9399.6715;23545.744;16.3112;2808.2586;10442.6617;11665.7464;2;1;21065.915;87.955;-1932.1857
14736;3;1;1582.9904;4748.9711;19505.7369;8870.292;4.1262;2767.8519;9770.6908;11503.1239;2;1;21065.9719;87.8981;-1931.8578
14737;2;2;809.6313;3238.5252;10607.455;27279.0198;20.1683;2857.7614;10736.5582;13072.3471;2;3;21065.9719;87.8981;-1931.8578
14738;3;3;1568.9682;4706.9046;19451.1459;8966.9495;4.0107;3005.3895;10253.4671;13407.8101;0;3;21065.9327;87.9373;-1932.1685
14739;2;0;771.7092;3086.8367;10233.773;27554.3903;21.0138;2980.3895;10582.1696;13104.1076;0;0;21065.9327;87.9373;-1932.1685
14740;2;1;732.503;2930.0122;8902.1562;26417.8316;20.0438;2967.3208;10948.0935;12751.2524;1;0;21065.9327;87.9373;-1932.1685
14741;2;2;657.503;2630.0122;8490.5573;24254.4306;18.7346;2942.3208;11648.0935;12076.2524;2;0;21065.9327;87.9373;-1932.1685
14742;3;0;1578.8062;4736.4185;24095.3485;9543.233;5.118;3073.9657;11072.4739;12520.227;4;0;21065.8903;87.9797;-1932.4823
14743;3;4;1543.9313;4631.7939;21884.8041;9233.402;4.9409;3039.0908;10510.0002;12242.5757;4;4;21065.9236;87.9464;-1932.1781
14744;2;4;766.9885;3067.9539;8262.3798;24294.6664;17.9422;3014.0908;10601.6312;12175.9446;4;0;21065.9236;87.9464;-1932.1781
14745;2;1;806.008;3224.032;10476.2048;21924.7632;16.2393;3207.6328;12273.6389;11352.0617;1;0;21065.9236;87.9464;-1932.1781
14746;3;0;1599.4574;4798.3723;24215.6116;9611.0161;4.9744;3003.6735;11618.9433;11169.0498;3;0;21065.4801;88.3899;-1932.8931
14747;3;0;1524.4574;4573.3723;22461.9777;8714.65;4.4587;2928.6735;11384.3987;10520.2611;3;0;21065.5836;88.2864;-1932.7898
14748;3;0;1449.4574;4348.3723;20633.3438;7893.2839;3.9846;2853.6735;11124.8541;9896.4724;3;0;21065.687;88.183;-1932.6865
14749;2;3;814.251;3257.0041;13218.9624;21774.0335;16.6865;2824.8118;11689.0805;11111.1077;3;1;21065.687;88.183;-1932.6865
14750;3;1;1597.9624;4793.8871;19222.4241;9108.6888;4.0429;2749.8118;10876.6251;11040.2297;2;1;21065.7905;88.0795;-1932.5833
14751;2;2;821.5979;3286.3914;11464.1703;23499.4383;18.0413;3043.4691;11070.0447;11594.8195;2;0;21065.7905;88.0795;-1932.5833
14752;3;0;1465.1773;4395.5319;20630.7295;7598.7387;3.5297;2878.322;11422.606;10365.7386;4;0;21065.9916;87.8784;-1932.6533
14753;3;4;1425.9712;4277.9135;18369.1569;7352.9296;3.3921;2837.7732;10868.6115;10960.282;4;4;21066.0562;87.8138;-1932.318
14754;2;4;814.4832;3257.9326;13960.839;21031.2284;16.1897;2771.8654;10998.1291;10896.6721;4;3;21066.0562;87.8138;-1932.318
14755;3;3;1441.1121;4323.3362;18326.2301;7350.4337;2.9931;2983.3645;11688.869;10952.7665;4;3;21065.9388;87.9312;-1932.7066
14756;2;4;736.1907;2944.7628;16618.484;21061.7533;17.0397;2919.8283;11895.604;10809.5677;4;2;21065.9388;87.9312;-1932.7066
14757;3;2;1599.3586;4798.0759;16402.2811;9299.6431;3.498;2887.4663;11091.9207;10770.613;2;2;21065.9728;87.8972;-1932.4018
14758;2;2;661.1907;2644.7628;15828.641;19276.5962;15.8322;2862.4663;11660.5281;10227.0056;2;2;21065.9728;87.8972;-1932.4018
14759;3;2;1599.3586;4798.0759;16369.2585;9332.6656;3.6931;2851.1623;10841.2394;11057.5983;0;2;21066.053;87.817;-1932.3219
14760;2;0;770.1027;3080.4109;15454.305;19465.284;15.0455;2826.1623;11409.8469;10513.9908;0;2;21066.053;87.817;-1932.3219
14761;3;2;1432.3845;4297.1536;18102.7862;7850.0602;3.3852;2886.8736;12231.0354;12257.091;3;2;21065.9537;87.9163;-1932.6922
14762;2;3;813.2048;3252.8191;18267.3379;24354.843;18.9869;2825.5696;12303.9849;12245.4455;3;0;21065.9537;87.9163;-1932.6922
14763;3;0;1541.2966;4623.8897;16592.2369;9283.8734;3.6497;2850.5696;12040.5436;12483.8868;2;0;21066.0982;87.7718;-1932.5478
14764;2;2;813.2048;3252.8191;17888.7608;24733.4201;18.7467;2825.5696;12113.4931;12435.9373;2;4;21066.0982;87.7718;-1932.5478
14765;3;4;1541.2966;4623.8897;16399.3386;9476.7717;3.9296;2792.6886;11850.0518;12648.9263;4;4;21066.2427;87.6273;-1932.4036
14766;2;4;813.2048;3252.8191;17510.1837;25111.9972;18.5064;2767.6886;11923.0013;12600.9768;4;0;21066.2427;87.6273;-1932.4036
14767;2;2;820.2993;3281.1973;16055.7511;26538.0516;19.571;3078.5099;12250.5859;13004.2375;2;0;21066.2427;87.6273;-1932.4036
14768;2;1;785.072;3140.2882;14648.2288;25461.483;18.5916;3066.7675;12602.8587;12663.7072;1;0;21066.2427;87.6273;-1932.4036
14769;2;4;746.9699;2987.8795;13281.9583;24355.1623;17.6273;3054.0668;12983.8804;12295.3861;4;0;21066.2427;87.6273;-1932.4036
14770;2;2;713.6143;2854.4572;11739.6754;23405.8674;16.7309;3042.9483;13317.4362;11972.9489;2;0;21066.2427;87.6273;-1932.4036
14771;2;2;675.7539;2703.0155;10446.0431;22225.9415;15.7068;3030.3281;13696.0404;11606.9648;2;0;21066.2427;87.6273;-1932.4036
14772;3;0;1591.4226;4774.2679;28310.3417;10290.3904;6.8419;2827.7319;13054.7131;11409.2216;1;0;21066.0375;87.8325;-1932.8796
14773;2;1;640.413;2561.652;9011.1144;21177.2336;14.7513;2815.9516;13228.8431;11246.8719;1;0;21066.0375;87.8325;-1932.8796
14774;2;1;804.5176;3218.0703;7835.4016;22196.5281;14.2617;2861.5315;13599.3982;11789.0704;1;0;21066.0375;87.8325;-1932.8796
14775;3;0;1530.3753;4591.1258;31473.0207;9435.8535;6.969;2828.0654;13467.8278;11870.7735;1;0;21066.2026;87.6674;-1932.9854
14776;3;3;1455.3753;4366.1258;29945.7499;8313.1244;6.0263;2853.0654;13321.9981;11991.6032;1;3;21066.3044;87.5656;-1932.8837
14777;3;3;1422.1984;4266.5952;27960.5512;7772.8536;5.4855;2819.8885;12826.1495;11645.6287;1;3;21066.1415;87.7285;-1932.7761
14778;2;1;828.3351;3313.3405;10298.5873;25138.0721;15.7899;3022.8239;12971.777;12338.7325;1;3;21066.1415;87.7285;-1932.7761
14779;3;3;1548.3809;4645.1426;26985.0176;8619.8398;5.11;2947.8239;12733.9108;11693.2653;1;3;21066.024;87.846;-1932.8937
14780;2;1;753.3351;3013.3405;10158.618;22703.0415;14.4669;2922.8239;12875.3418;11576.8343;1;2;21066.024;87.846;-1932.8937
14781;3;2;1588.1536;4764.4608;26203.8635;9531.6758;5.5408;2887.5966;12246.1405;11366.2629;1;2;21065.8635;88.0065;-1932.7839
14782;3;1;1554.798;4664.394;24187.8114;9022.7946;5.0736;2854.241;11729.7825;11040.9765;1;1;21065.701;88.169;-1932.6761
14783;2;1;678.3351;2713.3405;10127.5606;20159.0989;13.0986;2829.241;11919.214;10876.545;1;3;21065.701;88.169;-1932.6761
14784;3;3;1591.6958;4775.0875;23218.4745;10131.438;5.669;3014.4082;11244.3252;11532.9333;3;3;21065.5436;88.3264;-1932.5632
14785;2;3;780.3328;3121.3313;10336.1068;19792.562;12.2393;2989.4082;11765.8371;11036.4214;3;0;21065.5436;88.3264;-1932.5632
14786;3;0;1443.1909;4329.5726;24990.2263;8555.201;4.9486;3002.3149;12531.9946;10257.3572;1;0;21065.1058;88.7642;-1933.2717
14787;2;1;772.6963;3090.7852;12283.0814;17876.1334;11.0184;2943.3156;12634.9412;10213.4099;1;0;21065.1058;88.7642;-1933.2717
14788;3;0;1545.1886;4635.5657;23695.1954;9794.2389;4.956;2868.3156;12290.9348;9674.0829;1;0;21065.2302;88.6398;-1933.1475
14789;3;0;1509.8477;4529.5431;21521.1063;9449.3506;4.7204;2832.9747;11719.3822;9405.9763;1;0;21065.2306;88.6394;-1932.877
14790;3;0;1471.9873;4415.9618;19339.3914;9119.6468;4.5141;2798.5296;11165.963;9993.8407;1;0;21065.2337;88.6363;-1932.6038
14791;2;1;816.2473;3264.9892;14207.9245;18402.0862;11.9624;2854.6782;11445.842;10616.1465;1;2;21065.2337;88.6363;-1932.6038
14792;3;2;1604.2706;4812.8118;17523.4206;11038.7677;5.02;2817.6003;10606.245;10617.8213;2;2;21065.236;88.634;-1932.3316
14793;3;0;1529.2706;4587.8118;15489.9619;10422.2264;4.7264;2842.6003;10288.1444;10910.922;2;0;21065.4795;88.3905;-1932.0883
