StateID;StationID;CurrentRule;LocalAveProcTime;LocalAveRemainingProcTime;LocalAveLeadTime;LocalAveSlackTime;LocalAveCriticalRatio;GlobalAveRemainingProcTime;GlobalAveLeadTime;GlobalAveSlackTime;Op2Rule;Op3Rule;GlobalObjExitLeadtime;GlobalObjExitTardiness
1130;2;1;783.4539;3133.8157;10222.4942;20143.6901;12.7749;2918.8292;10068.4264;10346.0777;1;4;21464.921;-1408.5412
1131;3;4;1558.8649;4676.5946;17670.7113;8152.6941;3.6085;3091.1042;9550.3245;10775.238;4;4;21465.9863;-1407.6979
1132;2;4;852.6694;3410.6776;9600.6531;20738.6693;12.3889;3066.1042;9751.243;10599.3195;4;3;21465.9863;-1407.6979
1133;2;3;874.7851;3499.1402;11162.4539;19088.4059;11.3007;3228.1718;10995.4702;10234.6913;3;3;21465.9863;-1407.6979
1134;3;3;1586.0763;4758.229;19388.6968;9228.0742;4.127;3025.2909;10285.4579;10105.9179;3;3;21466.1773;-1411.2308
1135;2;3;838.09;3352.3599;9484.1253;18288.5148;10.6162;3013.0592;10397.6286;10005.9789;3;3;21466.1773;-1411.2308
1136;3;3;1458.4202;4375.2606;20882.2089;7617.5305;3.7648;2919.1411;10750.4135;9663.7788;3;3;21464.7798;-1416.3391
1137;2;3;824.5826;3298.3305;11256.2057;16570.4638;9.6171;2860.0718;10965.4389;9507.8227;3;1;21464.7798;-1416.3391
1138;3;1;1560.6282;4681.8847;19423.5555;9019.5597;3.962;2885.0718;10450.5594;9997.7021;1;1;21465.4814;-1415.8449
1139;2;1;810.8819;3243.5277;13042.5801;17463.8922;10.3416;2930.5049;11399.9796;9961.1822;1;0;21465.4814;-1415.8449
1140;3;0;1532.7784;4598.3352;19495.7962;9030.8685;3.6623;3087.3205;11239.5449;10839.8013;3;0;21462.9123;-1422.1051
1141;3;3;1496.0833;4488.25;17327.1971;8684.5529;3.44;3050.6254;10700.1539;10540.8874;3;3;21461.3733;-1420.3658
1142;2;3;774.0853;3096.3411;14281.6243;18747.0346;12.3806;3002.5536;10963.06;10326.0531;3;3;21461.3733;-1420.3658
1143;3;3;1565.2988;4695.8964;16177.1104;9876.9932;3.7937;2927.5536;10392.7389;10013.0409;3;3;21462.9646;-1418.9798
1144;2;3;699.0853;2796.3411;13514.6041;16939.0548;11.318;2902.5536;10645.1287;9785.651;3;3;21462.9646;-1418.9798
1145;3;3;1565.2988;4695.8964;15915.3368;10138.7668;4.129;2886.5254;10070.8341;10375.9739;0;3;21464.5504;-1417.5987
1146;2;0;822.1699;3288.6797;12965.7292;17245.591;10.7252;2861.5254;10323.2239;10148.584;0;0;21464.5504;-1417.5987
1147;3;0;1425.4227;4276.2682;17323.5882;8900.1435;3.9293;2902.7751;11030.2279;11150.3303;0;0;21463.8695;-1421.9436
1148;2;0;816.1796;3264.7185;15474.8944;20010.3871;12.9164;2836.7469;11158.1249;11088.4616;0;2;21463.8695;-1421.9436
1149;2;3;860.1324;3440.5295;13733.1408;21826.3297;13.4544;2872.3782;11435.5733;11650.3819;3;2;21463.8695;-1421.9436
1150;3;2;1579.5547;4738.664;18114.9316;10521.4044;4.6013;2908.1821;10774.2816;12275.8697;3;2;21465.2635;-1420.7468
1151;2;3;827.7206;3310.8823;12985.0381;22454.0796;14.2982;2883.1821;11186.5229;11888.6284;3;3;21465.2635;-1420.7468
1152;2;3;861.7693;3447.0773;11676.7136;23876.2091;14.6213;3148.535;11562.9109;12288.5541;3;3;21465.2635;-1420.7468
1153;2;0;786.7693;3147.0773;10997.831;21980.0917;13.544;3123.535;12262.9109;11613.5541;0;3;21465.2635;-1420.7468
1154;3;3;1582.2339;4746.7018;23381.3761;10496.9221;5.3166;2935.2631;11616.3043;11406.7659;0;3;21465.2513;-1424.4039
1155;2;0;754.7881;3019.1524;9219.5023;21261.3453;12.8805;2924.6026;11665.4901;11368.2406;0;5;21465.2513;-1424.4039
1156;2;4;862.1901;3448.7605;8564.0997;21737.1399;12.4213;2897.0516;12348.1765;11588.1053;4;5;21465.2513;-1424.4039
1157;2;3;859.4531;3437.8125;6993.2478;23318.9398;14.0258;3205.4897;12708.5182;11960.9921;3;5;21465.2513;-1424.4039
1158;3;5;1527.5692;4582.7077;29743.1193;9299.173;5.3364;3006.157;12605.838;11221.3383;3;5;21464.9639;-1428.3235
1159;3;3;1496.522;4489.566;27484.4486;9025.9854;5.189;2975.1098;11987.4859;10995.7377;3;3;21465.531;-1424.5033
1160;2;3;876.6413;3506.5651;8964.7202;21278.7147;12.8486;3146.8063;12621.9207;11231.2731;3;0;21465.531;-1424.5033
1161;3;0;1603.924;4811.772;26395.8253;10042.4027;5.0568;3071.8063;11810.6308;11159.2296;0;0;21463.9641;-1426.2589
1162;3;4;1571.9428;4715.8284;24317.5817;9591.5899;4.6919;3039.825;11256.4682;10870.3734;0;4;21461.8132;-1425.1731
1163;2;0;856.4674;3425.8698;11160.2121;19163.9182;11.6523;3038.4895;12676.8472;10409.6633;0;4;21461.8132;-1425.1731
1164;3;4;1598.9315;4796.7944;24541.0453;9287.1603;4.0431;2865.888;11952.5604;10264.8849;1;4;21458.466;-1432.1323
1165;3;1;1557.9802;4673.9406;22440.8595;8885.1999;3.8035;2924.9368;11431.4712;10810.2587;1;1;21457.7867;-1429.5853
1166;3;3;1482.9802;4448.9406;20558.3073;8117.7521;3.3754;3155.2342;11155.4711;10939.2947;1;3;21459.1541;-1428.4098
1167;3;3;1445.2934;4335.8803;18343.5739;7820.5458;3.2118;3117.5475;10605.6603;10651.7922;1;3;21458.4315;-1425.9222
1168;2;1;827.0511;3308.2044;13266.99;19799.8055;12.2763;3057.742;10738.658;10578.6;1;3;21458.4315;-1425.9222
1169;3;3;1549.7098;4649.1294;16760.9411;9339.9295;3.5285;2982.742;10304.2311;10129.6935;2;3;21459.7488;-1424.8013
1170;2;2;752.0511;3008.2044;12522.2475;17969.5481;11.2636;2957.742;10431.9089;10027.0158;2;5;21459.7488;-1424.8013
1171;2;5;875.2296;3500.9183;11910.7032;18338.3785;10.7422;3176.447;11035.2488;10246.6376;5;5;21459.7488;-1424.8013
1172;3;5;1544.6174;4633.8522;19455.5236;9285.6242;4.0599;3021.3546;10736.6571;9658.655;5;5;21457.2623;-1430.8733
1173;3;1;1469.6174;4408.8522;17556.4318;8534.716;3.685;2946.3546;10428.6265;9083.3522;5;1;21457.83;-1430.4949
1174;2;5;862.9098;3451.6391;14090.6663;16207.6946;9.5338;2943.3422;10888.7574;9584.567;5;2;21457.83;-1430.4949
1175;3;2;1592.7959;4778.3876;16004.6709;9966.9415;3.92;2868.3422;10108.3605;9481.6306;3;2;21458.3957;-1430.1178
1176;2;3;862.9098;3451.6391;13170.0849;17128.276;9.811;2881.09;10568.4914;9883.7519;3;3;21458.3957;-1430.1178
1177;3;3;1490.5878;4471.7635;17285.8426;8742.3939;3.7174;2984.0677;10705.7431;9643.5225;3;3;21456.3005;-1435.7737
1178;2;3;714.6998;2858.799;15139.5302;15251.6708;10.1774;2922.1148;11247.3145;9163.904;3;0;21456.3005;-1435.7737
